date,startup,vertical,subvertical,city,investors,round,amount
2018-07-26,bitla software,Technology,Travel-Focused Tech Startup,Bengaluru,makemytrip,Private Equity,0.0
2018-07-26,thecapitalnet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,lindwall family investments llc (lfi),Private Equity,4.6
2018-07-30,shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,amazon alexa fund & dentsu ventures,Private Equity,101.2
2018-07-30,cure fit,Consumer Internet,Health and fitness Platform,Bengaluru,"idg ventures, accel partners, kalaari capital and others",Private Equity,1104.0
2018-07-31,five star group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"tpg, norwest venture partners, sequoia capital & matrix partners",Private Equity,920.0
2018-07-31,healthsignz,Healthcare,Health and Well being Platform,Hyderabad,kantilal patel,Seed/ Angel Funding,46.0
2018-01-06,cointribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"sabre partners, puneet dalmia & others",Private Equity,92.0
2018-04-06,digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,aspire logistics llc,Seed/ Angel Funding,1.15
2018-04-06,kashmir box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"bhairavi jani, alok divatia, namrata kaul, sohail hashemi, aijaz saleem",Seed/ Angel Funding,0.0
2018-05-06,crowdera,Finance,Online Crowdfunding Platform,Nagpur,"anil advani, pramod jain, amrendra reddy and manish satnaliwala.",Seed/ Angel Funding,0.0
2018-05-06,zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,nb ventures and others,Seed/ Angel Funding,0.0
2018-07-06,annapurna finance,Finance,Non-Banking Financial Company,Bhubneswar,oman india joint investment fund (oijif),Private Equity,211.6
2018-07-06,meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"sequoia capital india, saif partners, y combinator and venture highway",Private Equity,105.8
